Run #1;Run #1;Run #1;Run #1;Run #1;Run #1;Run #1;Run #1;Run #1;Run #1;Run #1
Date and Time;Time (s);Position (m);Velocity (m/s);Acceleration (m/s²);Angle (rad);Angular Velocity (rad/s);Angular Acceleration (rad/s²);Position (m);Velocity (m/s);Acceleration (m/s²)
04/12/2019 08:45:04 am;0,000;;;;0,000;;;0,0000;;
04/12/2019 08:45:04 am;0,050;1,045;;;0,000;0,000;;0,0000;0,000;
04/12/2019 08:45:04 am;0,100;1,082;0,65;;0,000;0,000;0,000;0,0000;0,000;0,000
04/12/2019 08:45:04 am;0,150;1,110;0,48;-3,7;0,000;0,000;0,000;0,0000;0,000;0,000
04/12/2019 08:45:04 am;0,200;1,129;0,28;-4,0;0,000;0,000;0,000;0,0000;0,000;0,000
04/12/2019 08:45:04 am;0,250;1,138;0,07;-4,0;0,000;0,000;0,000;0,0000;0,000;0,000
04/12/2019 08:45:04 am;0,300;1,137;-0,12;-3,9;0,000;0,000;0,000;0,0000;0,000;0,000
04/12/2019 08:45:04 am;0,350;1,126;-0,31;-3,8;0,000;0,000;0,000;0,0000;0,000;0,000
04/12/2019 08:45:04 am;0,400;1,105;-0,50;-3,5;0,000;0,000;0,000;0,0000;0,000;0,000
04/12/2019 08:45:04 am;0,450;1,076;-0,67;-3,0;0,000;0,000;0,000;0,0000;0,000;0,000
04/12/2019 08:45:04 am;0,500;1,039;-0,80;-2,5;0,000;0,000;0,000;0,0000;0,000;0,000
04/12/2019 08:45:04 am;0,550;0,996;-0,92;-2,0;0,000;0,000;0,000;0,0000;0,000;0,000
04/12/2019 08:45:04 am;0,600;0,947;-1,00;-1,1;0,000;0,000;0,000;0,0000;0,000;0,000
04/12/2019 08:45:04 am;0,650;0,896;-1,03;-0,3;0,000;0,000;1,745;0,0000;0,000;0,042
04/12/2019 08:45:04 am;0,700;0,844;-1,03;0,5;0,000;0,175;1,745;0,0000;0,004;0,042
04/12/2019 08:45:04 am;0,750;0,793;-0,98;1,2;0,017;0,175;-1,745;4,1667E-4;0,004;-0,042
04/12/2019 08:45:04 am;0,800;0,746;-0,91;1,8;0,017;0,000;-1,745;4,1667E-4;0,000;-0,042
04/12/2019 08:45:04 am;0,850;0,702;-0,81;2,4;0,017;0,000;0,000;4,1667E-4;0,000;0,000
04/12/2019 08:45:04 am;0,900;0,665;-0,67;3,0;0,017;0,000;0,000;4,1667E-4;0,000;0,000
04/12/2019 08:45:04 am;0,950;0,635;-0,51;3,3;0,017;0,000;0,000;4,1667E-4;0,000;0,000
04/12/2019 08:45:05 am;1,000;0,614;-0,34;3,6;0,017;0,000;0,000;4,1667E-4;0,000;0,000
04/12/2019 08:45:05 am;1,050;0,602;-0,15;3,8;0,017;0,000;0,000;4,1667E-4;0,000;0,000
04/12/2019 08:45:05 am;1,100;0,599;0,05;3,7;0,017;0,000;0,000;4,1667E-4;0,000;0,000
04/12/2019 08:45:05 am;1,150;0,607;0,23;3,4;0,017;0,000;0,000;4,1667E-4;0,000;0,000
04/12/2019 08:45:05 am;1,200;0,622;0,39;3,2;0,017;0,000;0,000;4,1667E-4;0,000;0,000
04/12/2019 08:45:05 am;1,250;0,646;0,55;3,0;0,017;0,000;0,000;4,1667E-4;0,000;0,000
04/12/2019 08:45:05 am;1,300;0,677;0,69;2,7;0,017;0,000;0,000;4,1667E-4;0,000;0,000
04/12/2019 08:45:05 am;1,350;0,715;0,82;2,0;0,017;0,000;0,000;4,1667E-4;0,000;0,000
04/12/2019 08:45:05 am;1,400;0,758;0,89;1,2;0,017;0,000;-1,745;4,1667E-4;0,000;-0,042
04/12/2019 08:45:05 am;1,450;0,804;0,93;0,5;0,017;-0,175;-1,745;4,1667E-4;-0,004;-0,042
04/12/2019 08:45:05 am;1,500;0,851;0,94;-0,1;0,000;-0,175;1,745;0,0000;-0,004;0,042
04/12/2019 08:45:05 am;1,550;0,898;0,92;-0,7;0,000;0,000;1,745;0,0000;0,000;0,042
04/12/2019 08:45:05 am;1,600;0,944;0,87;-1,4;0,000;0,000;0,000;0,0000;0,000;0,000
04/12/2019 08:45:05 am;1,650;0,985;0,78;-2,0;0,000;0,000;0,000;0,0000;0,000;0,000
04/12/2019 08:45:05 am;1,700;1,021;0,67;0,9;0,000;0,000;0,000;0,0000;0,000;0,000
04/12/2019 08:45:05 am;1,750;1,052;0,86;-56,7;0,000;0,000;0,000;0,0000;0,000;0,000
04/12/2019 08:45:05 am;1,800;1,108;-5,01;-10,7;0,000;0,000;0,000;0,0000;0,000;0,000
04/12/2019 08:45:05 am;1,850;0,551;-0,21;104,2;0,000;0,000;0,000;0,0000;0,000;0,000
04/12/2019 08:45:05 am;1,900;1,087;5,41;1,5;0,000;0,000;0,000;0,0000;0,000;0,000
04/12/2019 08:45:05 am;1,950;1,092;-0,06;-57,1;0,000;0,000;0,000;0,0000;0,000;0,000
04/12/2019 08:45:06 am;2,000;1,081;-0,30;-3,9;0,000;0,000;0,000;0,0000;0,000;0,000
04/12/2019 08:45:06 am;2,050;1,063;-0,45;-2,9;0,000;0,000;0,000;0,0000;0,000;0,000
04/12/2019 08:45:06 am;2,100;1,036;-0,59;-2,6;0,000;0,000;0,000;0,0000;0,000;0,000
04/12/2019 08:45:06 am;2,150;1,004;-0,71;-2,0;0,000;0,000;0,000;0,0000;0,000;0,000
04/12/2019 08:45:06 am;2,200;0,966;-0,79;-1,4;0,000;0,000;0,000;0,0000;0,000;0,000
04/12/2019 08:45:06 am;2,250;0,925;-0,84;-0,8;0,000;0,000;0,000;0,0000;0,000;0,000
04/12/2019 08:45:06 am;2,300;0,882;-0,87;-0,3;0,000;0,000;1,745;0,0000;0,000;0,042
04/12/2019 08:45:06 am;2,350;0,838;-0,87;0,4;0,000;0,175;1,745;0,0000;0,004;0,042
04/12/2019 08:45:06 am;2,400;0,795;-0,83;1,1;0,017;0,175;-1,745;4,1667E-4;0,004;-0,042
04/12/2019 08:45:06 am;2,450;0,754;-0,76;1,7;0,017;0,000;-1,745;4,1667E-4;0,000;-0,042
04/12/2019 08:45:06 am;2,500;0,718;-0,67;2,2;0,017;0,000;0,000;4,1667E-4;0,000;0,000
04/12/2019 08:45:06 am;2,550;0,688;-0,55;2,6;0,017;0,000;0,000;4,1667E-4;0,000;0,000
04/12/2019 08:45:06 am;2,600;0,664;-0,40;3,0;0,017;0,000;0,000;4,1667E-4;0,000;0,000
04/12/2019 08:45:06 am;2,650;0,647;-0,25;3,1;0,017;0,000;0,000;4,1667E-4;0,000;0,000
04/12/2019 08:45:06 am;2,700;0,639;-0,09;3,1;0,017;0,000;0,000;4,1667E-4;0,000;0,000
04/12/2019 08:45:06 am;2,750;0,638;0,06;3,1;0,017;0,000;0,000;4,1667E-4;0,000;0,000
04/12/2019 08:45:06 am;2,800;0,645;0,21;3,1;0,017;0,000;0,000;4,1667E-4;0,000;0,000
04/12/2019 08:45:06 am;2,850;0,659;0,37;2,9;0,017;0,000;0,000;4,1667E-4;0,000;0,000
04/12/2019 08:45:06 am;2,900;0,682;0,51;2,5;0,017;0,000;0,000;4,1667E-4;0,000;0,000
04/12/2019 08:45:06 am;2,950;0,710;0,62;2,0;0,017;0,000;0,000;4,1667E-4;0,000;0,000
